group,ticker,fold,k,DirAcc,RMSE,naive,edge
VALIDATION (unseen),MCD,2023,12,0.524,0.008814373121917532,0.544,-2.0000000000000018
VALIDATION (unseen),MCD,2023,15,0.528,0.008813900625190607,0.544,-1.6000000000000014
VALIDATION (unseen),MCD,2024,5,0.4940239043824701,0.011360065810942276,0.5059760956175299,-1.195219123505975
VALIDATION (unseen),MCD,2024,8,0.4860557768924303,0.011392606722363044,0.5059760956175299,-1.9920318725099584
VALIDATION (unseen),MCD,2024,10,0.5139442231075697,0.011346036548795903,0.5059760956175299,0.7968127490039834
VALIDATION (unseen),MCD,2024,12,0.49800796812749004,0.01131204375994681,0.5059760956175299,-0.7968127490039834
VALIDATION (unseen),MCD,2024,15,0.5059760956175299,0.011294859738934557,0.5059760956175299,0.0
VALIDATION (unseen),NKE,2022,5,0.450199203187251,0.028751218700966828,0.4860557768924303,-3.5856573705179304
VALIDATION (unseen),NKE,2022,8,0.47410358565737054,0.02827743223597517,0.4860557768924303,-1.195219123505975
VALIDATION (unseen),NKE,2022,10,0.5179282868525896,0.028372085330184846,0.4860557768924303,3.1872509960159334
VALIDATION (unseen),NKE,2022,12,0.4701195219123506,0.028481080185057586,0.4860557768924303,-1.5936254980079667
VALIDATION (unseen),NKE,2022,15,0.4581673306772908,0.02871965804575389,0.4860557768924303,-2.788844621513947
VALIDATION (unseen),NKE,2023,5,0.488,0.017360398292870338,0.48,0.8000000000000007
VALIDATION (unseen),NKE,2023,8,0.444,0.017544911093585892,0.48,-3.599999999999998
VALIDATION (unseen),NKE,2023,10,0.456,0.01740308970387257,0.48,-2.399999999999997
VALIDATION (unseen),NKE,2023,12,0.456,0.017408396863615765,0.48,-2.399999999999997
VALIDATION (unseen),NKE,2023,15,0.448,0.017374423175276283,0.48,-3.1999999999999975
VALIDATION (unseen),NKE,2024,5,0.47410358565737054,0.022086543549825425,0.5059760956175299,-3.1872509960159334
VALIDATION (unseen),NKE,2024,8,0.5059760956175299,0.022057272506066126,0.5059760956175299,0.0
VALIDATION (unseen),NKE,2024,10,0.49800796812749004,0.02304950035292174,0.5059760956175299,-0.7968127490039834
VALIDATION (unseen),NKE,2024,12,0.4940239043824701,0.022690895021546184,0.5059760956175299,-1.195219123505975
VALIDATION (unseen),NKE,2024,15,0.4900398406374502,0.022125889955331622,0.5059760956175299,-1.5936254980079667
VALIDATION (unseen),CAT,2022,5,0.5099601593625498,0.02180534921087792,0.5219123505976095,-1.195219123505975
VALIDATION (unseen),CAT,2022,8,0.50199203187251,0.021790253305964888,0.5219123505976095,-1.9920318725099584
VALIDATION (unseen),CAT,2022,10,0.5139442231075697,0.021605355842351997,0.5219123505976095,-0.7968127490039834
VALIDATION (unseen),CAT,2022,12,0.5139442231075697,0.021698564328988954,0.5219123505976095,-0.7968127490039834
VALIDATION (unseen),CAT,2022,15,0.5298804780876494,0.021687446845464916,0.5219123505976095,0.7968127490039834
VALIDATION (unseen),CAT,2023,5,0.48,0.018456796738923795,0.524,-4.400000000000004
VALIDATION (unseen),CAT,2023,8,0.484,0.01828383289392024,0.524,-4.0000000000000036
VALIDATION (unseen),CAT,2023,10,0.48,0.018262679435553358,0.524,-4.400000000000004
VALIDATION (unseen),CAT,2023,12,0.5,0.018181788028275244,0.524,-2.400000000000002
VALIDATION (unseen),CAT,2023,15,0.496,0.018208545467278674,0.524,-2.8000000000000025
VALIDATION (unseen),CAT,2024,5,0.4900398406374502,0.01685918146442629,0.545816733067729,-5.5776892430278835
VALIDATION (unseen),CAT,2024,8,0.50199203187251,0.016728464325070136,0.545816733067729,-4.3824701195219085
VALIDATION (unseen),CAT,2024,10,0.4701195219123506,0.016600028420163775,0.545816733067729,-7.569721115537842
VALIDATION (unseen),CAT,2024,12,0.4900398406374502,0.01659309240575037,0.545816733067729,-5.5776892430278835
VALIDATION (unseen),CAT,2024,15,0.5298804780876494,0.016620748084337174,0.545816733067729,-1.5936254980079667
VALIDATION (unseen),BA,2022,5,0.5258964143426295,0.030503125946528337,0.5099601593625498,1.5936254980079667
VALIDATION (unseen),BA,2022,8,0.47808764940239046,0.030910270774162894,0.5099601593625498,-3.1872509960159334
VALIDATION (unseen),BA,2022,10,0.4820717131474104,0.030756507568339257,0.5099601593625498,-2.7888446215139417
